Veic 01	'867488060855003		'NaN	CAM5003	Instalado		Map2	Campinas															
0	1	2	3	4	5	6	km	km/h	9	km/h	11	km/h	13	13a	14	15	16	17	18	%	%	%	%	%
idt Viagem	IGN ON	IGN OFF	Data	Início latlng	Fim latlng	TT	DD	V.Média	Perfil	V.Máx	Vmáx latlng	V.Lim.	Pedal	Pedal/DD	Freada e curva	Accel. e curva	Accel. Brusca	Freada Brusca	Curva Brusca	V<30	30<V<60	60<V<90	90<V<120	V>120
200688	12:08:59 AM	8:02:18 PM	11/19/24	Mapa	Mapa	19:53:19			-	2.40	Mapa									100.00				
204726	8:02:31 PM	8:10:33 PM	11/19/24	Mapa	Mapa	00:08:02	2.90	21.66	Z1	51.20	Mapa		17	5.86						53.32	46.68			
204942	10:06:41 PM	10:06:56 PM	11/19/24	Mapa	Mapa	00:00:15			-	15.40	Mapa		1							100.00				
204944	10:07:12 PM	10:13:09 PM	11/19/24	Mapa	Mapa	00:05:57	2.00	20.17	Z1	57.80	Mapa		9	4.50			1			49.30	50.70			
204972	10:23:09 PM	12:45:22 PM	11/19/24	Mapa	Mapa	14:22:13			-		Mapa									100.00				
205377	12:45:32 PM	12:52:27 PM	11/20/24	Mapa	Mapa	00:06:55	2.90	25.16	Z1	52.90	Mapa		17	5.86			1			45.78	54.22			
205434	12:57:55 PM	12:58:01 PM	11/20/24	Mapa	Mapa	00:00:06			-	18.80	Mapa		1							100.00				
205436	12:58:15 PM	1:07:39 PM	11/20/24	Mapa	Mapa	00:09:24	1.80	11.49	Z1	43.70	Mapa		16	8.89			1			79.43	20.57			
205584	1:17:39 PM	2:00:17 PM	11/20/24	Mapa	Mapa	00:42:38			-		Mapa									100.00				
205654	2:00:39 PM	2:18:02 PM	11/20/24	Mapa	Mapa	00:17:23	4.50	15.53	Z1	59.70	Mapa		26	5.78						71.62	28.38			
205743	2:28:00 PM	12:09:41 PM	11/20/24	Mapa	Mapa	21:41:41			-		Mapa									100.00				
208069	12:10:11 PM	1:15:09 PM	11/21/24	Mapa	Mapa	01:04:58	84.00	77.58	Z4	108.70	Mapa		52	0.62						7.44	15.83	17.27	59.47	
208458	1:25:08 PM	3:15:25 PM	11/21/24	Mapa	Mapa	01:50:17			-		Mapa		1							100.00				
208519	3:15:26 PM	4:04:13 PM	11/21/24	Mapa	Mapa	00:48:47	18.80	23.12	Z1	94.00	Mapa		118	6.28			1			63.58	24.12	11.55	0.75	
209533	7:06:16 PM	7:06:19 PM	11/21/24	Mapa	Mapa	00:00:03			-	20.30	Mapa		1							100.00				
209535	7:06:22 PM	7:54:57 PM	11/21/24	Mapa	Mapa	00:48:35	24.70	30.50	Z1	111.50	Mapa		88	3.56						57.05	24.39	4.32	14.24	
209733	8:04:57 PM	8:10:23 PM	11/21/24	Mapa	Mapa	00:05:26			-		Mapa		1							100.00				
209739	8:10:30 PM	8:37:12 PM	11/21/24	Mapa	Mapa	00:26:42	42.60	95.73	Z4	118.30	Mapa		10	0.23			1			3.56	1.56	16.10	78.78	
209814	8:46:59 PM	8:47:08 PM	11/21/24	Mapa	Mapa	00:00:09			-		Mapa		1							100.00				
209817	8:47:29 PM	9:08:31 PM	11/21/24	Mapa	Mapa	00:21:02	24.90	71.03	Z2	107.20	Mapa		11	0.44						10.22	23.85	11.89	54.04	
209881	9:18:31 PM	1:08:55 PM	11/21/24	Mapa	Mapa	15:50:24			-		Mapa									100.00				
211457	1:09:25 PM	1:17:50 PM	11/22/24	Mapa	Mapa	00:08:25	2.90	20.67	Z1	56.30	Mapa		17	5.86						60.79	39.21			
211646	2:23:53 PM	2:24:03 PM	11/22/24	Mapa	Mapa	00:00:10			-	21.90	Mapa		1							100.00				
211648	2:24:14 PM	2:30:47 PM	11/22/24	Mapa	Mapa	00:06:33	1.10	10.08	Z1	26.90	Mapa		21	19.09						100.00				
211688	2:39:54 PM	2:40:02 PM	11/22/24	Mapa	Mapa	00:00:08			-		Mapa		1							100.00				
211690	2:40:20 PM	2:48:07 PM	11/22/24	Mapa	Mapa	00:07:47	1.70	13.10	Z1	43.10	Mapa		20	11.76			1			88.44	11.56			
211757	2:54:29 PM	2:54:32 PM	11/22/24	Mapa	Mapa	00:00:03			-	16.40	Mapa		1							100.00				
211759	2:54:50 PM	3:05:53 PM	11/22/24	Mapa	Mapa	00:11:03	2.70	14.66	Z1	56.10	Mapa		19	7.04						72.85	27.15			
211814	3:15:53 PM	8:52:41 PM	11/22/24	Mapa	Mapa	05:36:48			-	5.70	Mapa									100.00				
212085	8:52:44 PM	8:55:56 PM	11/22/24	Mapa	Mapa	00:03:12	1.20	22.50	Z1	46.40	Mapa		6	5.00						52.08	47.92			
212101	9:03:57 PM	9:03:59 PM	11/22/24	Mapa	Mapa	00:00:02			-		Mapa		1							100.00				
212103	9:04:05 PM	9:11:47 PM	11/22/24	Mapa	Mapa	00:07:42	3.40	26.49	Z1	56.00	Mapa		15	4.41						31.82	68.18			
212140	9:21:47 PM	9:32:36 PM	11/22/24	Mapa	Mapa	00:10:49			-		Mapa									100.00				
212146	9:32:51 PM	9:39:06 PM	11/22/24	Mapa	Mapa	00:06:15	2.90	27.84	Z1	55.30	Mapa		11	3.79						40.00	60.00			
212176	9:49:07 PM	7:38:15 AM	11/22/24	Mapa	Mapa	09:49:08			-		Mapa									100.00				
212414	7:38:23 AM	7:45:52 AM	11/23/24	Mapa	Mapa	00:07:29	2.40	19.24	Z1	55.50	Mapa		18	7.50						65.92	34.08			
